レス番号,内容,感情スコア
44,一回はいい感じのボール蹴ってたけど他はちゃんと緩かったぞ,1
45,最後の失点も疲れてるとは言えサヴィーニョが全然寄せてなかったし今日はギュンドアンのせいにするのは厳しいでしょ,4
1,ユルゲン・クロップ氏がRB大宮アルディージャの今季開幕戦を現地観戦する見通しとなった ドルトムントでブンデスリーガ連覇やDFBポカール優勝リヴァプールではプレミアリーグ優勝やチャンピオンズリーグ制覇も成し遂げたクロップ氏昨季限りでリヴァプールを退団するとレッドブル・グループのグローバルフットボール責任者に就任したことが先日に発表された 今季にJ2に昇格した大宮との関わりも注目される中レッドブル公式はクロップ氏が大宮の開幕節を現地観戦すると報告フットボール本部長を務める原博実氏はX上での報告を引用し待ってますよと投稿した 大宮は2月15日に行われる明治安田J2リーグ第1節でモンテディオ山形をホームに迎える,-4
2,クロップだけ見に行きたい,-4
3,ライプツィヒの試合にも来てたし仕事してるな シェシュコのゴラッソを生で見たの羨ましい,-4
4,マイクパフォーマンスとかあるのかな,-4
5,クロップ見れるなら関西からでも行きたい,-4
6,スーパードライを飲みながら大宮ステーキ丼とウィンナー盛り合わせナクスタカレーを頬張るクロップの姿が,-4
7,香川の試合も観に行こう,-4
8,クロップのサインほしいな,-4
9,初来日かな ドルが来日した時は監督もうトゥヘルに変わってたよね,-4
10,日本代表監督になってほしいわぁ,-4
11,試合が終わったらクロップを胴上げだー,-4
12,マジか ちょっとヤバ過ぎる,4
13,大宮はJリーグにおける黒船襲来でありこの外圧により全体が激震するだろう そしてそれははJリーグが文化として日本に根付く契機になるだろう,-3
14,山形に勝ったら昇格ある そこまで甘くないと思うが,-4
15,監督はもうやらないって断言してたな,2
16,疲れ果ててそんなこと言ってるんだろうけど少し休んだらまた修羅場に戻りたくなるだろうね,0
17,もしも次に監督するならドイツ代表監督かバルサかレアルしか選択肢もないしな 現実的なところだとドイツ代表くらいしかなさそう,-4
18,J2に昇格したってことはもっと下だったの,-4
19,昨シーズンはJ3,-4
20,クロップ来るのか,-4
21,クラブスタッフになるとかならビビるが 来場するだけじゃなあ,-3
22,日本のアンフィールドへようこそクロップ氏がJ2開幕戦を現地観戦へ レッドブル・ジャパンが15日に公式X(旧ツイッター)を更新し ユルゲン・クロップ氏がレッドブル傘下となったRB大宮アルディージャのJ2開幕戦を現地観戦すると伝えた,-4
23,大宮nack5がリヴァプールアンフィールドなら浦和はエヴァートンで埼スタはグディソンかよ そりゃそうなるよな,-4
24,あんな小さなスタジアムが日本のアンフィールドって,-4
25,全然大宮サポじゃないけどクロップみにナクスタ行こうかな,-4
26,ケンユーが見つかっちまうか,-4
27,クロップもあの歩道もないような横ビュンビュン車が通るところ歩いてNACK5行くのか,-4
28,ピッチに降りて軽く挨拶と拳突き上げイエアイエアイエアしてほしいよな 大宮サポができるか微妙だけど,-4
29,なんでクロップが大宮駅から徒歩でNACK5スタジアム行くんだよw,-4
30,蒙古タンメン食ってナック5の傾斜で転がってマンキツするだろクロップも,1
1,勝ったー,-4
2,きつかったわ,4
3,結果がすべてやナイス,-4
4,いよおおおおおおおおおおおし でかい1勝,-4
5,スケリーにMOTMをあげたい,-4
6,ノースロンドンフォーエバー,-4
7,よしよしよし ナイス逃げ切り 次も勝ってリバポ追うぞ全然チャンスあるぜ,-4
8,いよっしゃー 今のチーム状況でノーロン2タテは素晴らしい,-4
9,チームとして一つキッカケになるダービーでしっかり逆転して勝ったんだからこっからだぞマジでチームのメンタルと自信を取り戻してくれ,-4
10,よーしよし 次はヴィラかきっちー,-4
11,スケリーが良すぎるなぁ カラフィオーリが復帰してもスタメンで見たいわ 交代時のパフォーマンスでさらに好きになった笑,-4
12,お互いヘトヘト 内容なんかしらん結果が全て,3
13,勝てたから良かったけどカイのところの層がな カイを休めさせられないのはきつい,4
14,正直5点は取れた試合だったけど勝って3pが重要 4バック特にガブリエルと両SBの強さが際立ってた,-4
15,いやぁまず勝利おめでとう だけどみんなシュート下手になったわw シュート練習もっとやれw,-3
16,サカホワイトウデゴの流動性のある右からの攻撃が恋しいわ マジではよ帰ってきてくれ,-3
17,サカの次のスターボーイになる気がする 天性の身体の強さとバランスあるし,-4
18,スケリーはそれに加えてボール持てるのがデカい プレッシャー受けても失わないキープ力 あれは普通のSBが持ってない能力だわ,-4
19,元々アンカーだからね 身体能力も高いし現代のSBにピッタリだわ,-4
20,アウェーのダービー4連勝って無敗の頃でもなかったぞ 2022年以降全部勝ち点3取ってるホームなら15年負けてないし,-2
21,トッテナムは降格圏のほうが近いなw,-4
22,ウデゴもカイも本当に戦ってるのはわかるからフィニッシュもやり切って報われてほしい,-4
23,控えいなくてボロボロだな前線 これ以上怪我人出さないためにも補強せんと それでなくてもシュート下手なやつばっかなのに 疲労で足元覚束無いし判断鈍ってるしでダメダメだ,4
24,次も中2日で試合かよ 選手殺す気やんもっと試合間隔あけてやれよ,2
25,次どころか2月の頭までこのペースだ12月の中旬あたりからずっとマジで選手殺す気だよ,4
26,トッテナムも大概酷かったわ ベリヴァルが空けたスペースを埋める人いないしジョンソンは全部適当すぎて草生える,1
27,ヘロヘロのハヴァーツがまったく休めなくてどんどんコンディションが落ちる悪循環 ユースからあげて少しは休ませてくれ,4
28,カビアはカラバオ3回戦ですら微妙だったしオイデジエドワースはトップチーム出場0 これじゃティアニーやチェンコをWGで使うのはしょうがない,4
29,下手したら本職じゃないドーマンがユースで1番まともな右ウィングだしね,-1
30,でもPLに出場できないんだよなあ規定で,4
31,ティアニー一個前はあくまで逃げ切り用の使い方だし きついな,4
32,ティアニーチェンコ使ってでもトロのプレータイム管理しなきゃいけない苦しい台所事情だったな 今日観にきてるんだろジョシュ頼むぞ,-2
33,カイは病み上がりから連戦で調子落ちまくり 判断最悪で頭回ってない,4
34,トロサールゴールは決めたけど 苦しすぎるなぁあんな簡単にボールロストしてたら ちょっとね点決めたからすべておkとはさすがにならんかなぁ・・・,2
35,トロサールのゴールはスカッとしたけどロスト増えまくりでもうきついな,4
36,ハヴァーツはマジで休ませるタイミングないんだよなジェズス離脱までは休ませつつ使ってたけど病み上がりからフル稼働しないと回らない ヌワネリ復帰してもCFできる奴が根本的にいないからなワンチャンでネッリぐらいだけど収までって形は難しいしな,3
37,後半疲れてきたとき 相手陣地からのリスタートのプレスの掛け方あぶなかったわ 簡単に剥されてドリブルで運ばれてDFラインが曝されすぎた あれは修正してほしかったな,3
38,バックスは冬はもうこれ以上無いよ 前線はトロトップにしないとカイ休めないんだからな,0
39,ティアニーを干し続けてたのは正解だったんだろうかと思うプレーぶりだった,-4
40,まあ怪我がね,4
41,ライスのインタビューでもスケリーについてめっちゃ聞かれてるな笑,-4
42,April 2024 Tottenham 23 Arsenal Man of the Match Gabriel Magalhães September 2024 Tottenham 01 Arsenal Man of the Match Gabriel Magalhães January 2025 Arsenal 21 Tottenham Man of the Match Gabriel Magalhães ノーロンの鬼マガリャン,-4
43,マルティネッリトロサールハヴァーツの並びの方がまだいいと思うけど ジェズスの右WGといいアルテタはしねぇんだよな マルティネッリは器用じゃないから本来の左にしてあげた方がいいし トロサールが1番キック上手いからゴールから遠ざけるより中の方がいいし ハヴァーツはファーストターゲットにするより後から飛び込ませてあげて欲しいし,-4
44,マジでターンオーバー人員確保が急務過ぎる ホワイト冨はよ復活してくれ,0
45,ホワイト冨安はリハビリ最終段階って感じだけど まだフリトレ復帰には1週間は必要かなぁと,-4
46,60分マルティネッリを休ませただけでもスターリングは価値がある選手 スペンス経由でビルドアップ出来ないのを見越してスタメンで出したアルテタの名采配だよ,-4
47,スターリングは守備でサボることはなくなっていたからまだ使える あとはティンバーやウデゴとうまく連携できれば 正直単独突破はスペンス相手にもできなくなっていたから衰えかな,-4
48,あと普通にスケリーは身体能力高いよな ユース時代はそれ故に身体がついて来れず怪我多かったけど,-4
49,ヴィラ戦もスターリングスタートの途中でマルorトロだろうね 判断がちょくちょく気になる場面はあったけど頑張ってもらわねば ティンバー使い詰めなのが心配冨安はよ帰ってきてくれ,0
50,それにしても鳴り物入りで獲得したカラフィオーリが怪我の間にスタメン獲得しそうなスケリーは ドビュッシーとベジェリンを思い出させる まぁカラフィオーリが腐る事にはならないだろうが,-4
51,そこまで歳は離れてないけどね なんかのインタビューでベジェリンはスタメン争いやる気満々だったけどドビュッシーは大人な受け答えしてたのが記憶に残ってる,-4
52,とりあえず1つ目の山場を越えられて良かった あとは補強がどうなるか,-4
1,うおおおおおお ジュベントゥージに所属するCBダニーロ・ボザ に日本からオファーがありまもなく移籍するとか 26歳のダニーロ・ボザは今季ブラジル1部32試合出場 J1案件かなCBが必要なJクラブといえば,-4
2,待望の壁CBキタ(゚゚) あとは右SBとクリロナか,-4
3,アルベルト島野 浦和へ移籍するってよ 午前528 ・ 2025年1月15日 マジかよ,-4
4,mk19 代理人調べたらドウグラス・ヴィエイラと同じなんですね 午前813 ・ 2025年1月15日,-4
5,185センチ右利きは一応右センターバックに合う,-4
6,Danilo Boza この選手かCBとしては足下は異常に上手いな 壁になれるかどうかはよく分からん,-3
7,ボールの持ち出しかたが闘莉王にそっくり 足元は相当上手いね 攻撃大好きな感じ ヘディングも強いようだけど ヘディングゴールは少ないな 体も強いね スピードもまぁまぁ,-4
8,裏に出すロングフィードめっちゃ上手いな,-4
9,良いところばかり集めてるんだから当たり前だけど スピードあって足元うまくてすげーいい選手に見えるな 守備力は分からんが,-4
10,ChatGPTに聞いてみた ダニーロ・ボザ選手はブラジル出身のセンターバックで空中戦やフィジカルの強さが特徴です スコルジャ監督の戦術に適応するためにはこれらの能力に加えてビルドアップ能力や戦術理解度が求められます したがってダニーロ・ボザ選手が浦和レッズにフィットするかどうかは彼の総合的なスキルセットとスコルジャ監督の戦術要求との適合性によると言えます,-4
11,無難な答えしか出てこないやん,4
12,ダニーロ・ボザ選手の成功確率は約50と推定されます フィジカルの強さや空中戦はJリーグでプラスに働く要素です 一方で戦術的適応や浦和レッズでの競争の激しさが課題となります マチェイ・スコルジャ監督の戦術理解がカギとなるでしょう シーズン序盤での適応が成功への重要なポイントです,-4
13,がっつり右CBやね 足もとも上手っぽい,-4
14,動画見てたらだんだん気に入ってきた カバーリングやインターセプトが得意でドリブルでどんどん持ち上がって攻撃参加するリベロタイプ アドリエウソンの方が対人守備能力や跳躍力が凄くてヘディング強くていかにも壁って感じだったが,-4
15,アルベルト島野 日本からオファーがあったダニーロ・ボザは 南米のトップ5リーグで最も成功率の高いディフェンスデュエルを持つ7人のセンターバックのうち4位にランクアップされているとか,-4
16,南米トップ5リーグって初めて聞いたがブラジルアルゼンチンの他の3つはどこ,-1
17,知らんけど ウルグアイパラグアイコロンビアあたりじゃね,-4
18,流石にこのデータのダニーロは浦和が取る方で合ってるのかな,-4
19,やっと壁が来るのか,0
20,持ち上がりもできて縦パスも刺せる 足元うまいし足も遅くなさそう 来てくれるならありがたいね,-4
21,wikiには右SBできるという情報が,-4
22,サントス時代に右サイドバックやったけどひどかったみたい,4
23,これが確定と言う事ならホリの出来る範囲で頑張ったと見て良いのかな 欲を言えば右SBの補強が欲しかったけどね,-4
24,右SB兼まだまだ薄手のCBの控えとして橋岡欲しいとこなんだけどな たぶん水面下で動いてそうな気もするがルートンタウンと本人に復帰の意思があるかどうか 来年のW杯出場考えたら試合に出れる所に行かなきゃどうにもならんし,1
25,ダニーロ・ボザ フルネーム Danilo Boza Júnior 生年月日(年) May 6 1998(26) 身長 185 m 国籍 ブラジル ポジション Defender CentreBack 利き足 右 所属 Esporte Clube Juventude 契約 Dec 31 2025 市場価値 150Mill tps 2024 全国選手権(セリエA) 32試合3G1A 黄紙2 出場2832 2023 全国選手権(セリエB) 38試合2G1A 黄紙1 出場3389 2022 全国選手権(セリエB) 17試合0G0A 黄紙2 出場1248 2021 全国選手権(セリエA) 22試合0G1A 黄紙2 出場1455 2020 全国選手権(セリエD) 20試合4G0A 黄紙5 2枚目退場1 出場1764 2019 全国選手権(セリエB) 0試合0G0A 出場0 201819 ポルトガル2部 9試合0G0A 出場736 tps,-4
26,ええやん,0
27,てかCBで黄紙少ないのも凄いな,-3
28,西野が今年獲得したコロンビア人DFは1シーズンだけで17枚も黄紙もらってて草,-4
29,1シーズンでカード17枚草 どんなプレーしたらそんな事になるのか,-4
30,ビルドアップ能力ありそうなのは戦術的には求めてるタイプな感じだね 一応記事には右SBもやれる的なこと書いてあるけどどうなんだろ,-4
31,正直去年の夏に取る選手だったろとは思う まあ取れるなら最低限か あとSBはよ,0
32,足速いのはいいな JリーグのCBは足遅いと辛い,2
33,足速いのは良いな ライン上げられる あとはマリウスとのコミュニケーションだが,-4
34,バスコのディフェンダーダニーロ・ボザが世界最速選手の一人に,-4
35,スピード自信あるのか 36キロってJリーグだと誰くらい,-4
36,調べたら去年のデータでトップタイで ガンバの山下と当時鹿島の藤井の354の上,-4
37,ほう 計測がブラジルと日本だとズレありそうだが 足は自慢の快速ぽいな,-4
38,松尾で去年の記録だと347 36だとJナンバーワンの数字になるね,-4
39,すげえスペック高そうな選手だが ちょっと遅咲きぽいのはなんでだろな,-3
40,ダニーロボザが前に進みたくても バックパス横パスを繰り返す西川マリウス石原安居にビックリするだろうな,0
41,スペック的には弱点がないなダニーロボザ ボールはちょっと持ちすぎかもしれない 西川マリウス安居が下手くそだから 上手く反応できないかもな,0
42,今のところポジ要素しかないな ただ本当にそんなスーパーな選手ならこの年齢までヨーロッパ行ってない筈ないとも思うが 脚の速さ意外は多少割り引いて考えてもいいかもしれん,-3
43,ブラジル1部で活躍したのは2023年からだから 微妙な可能性もあるな 遅咲きならいいが,-4
44,怪しそうだけど大丈夫,-3
45,前にフィード蹴るタイプなのに パス成功数91もあるやんけ,2
46,地上戦の数値低すぎる,4
47,地上の対人が超苦手だが空中戦は超得意みたいだな,-4
48,データの見方間違ってる パーセンタイルというのは全選手中で何パーセントかという順位で13になっているのは地上戦回数 地上戦は主に中盤で発生するのでCBは数値が低くなるという数字のマジックにすぎない 割合で確認してみれば69戦42勝だから勝率は60強 32試合やってドリブルで抜かれた回数4回だけなのでかなり硬いよ,0
49,ダニーロのプレー集見てフィードが既視感あるなと思ったら航だわ 航のフィードを思い出した サヴィオ金子松尾と相性良さそう,-4
50,ダニーロとれれば今冬全体で80点はあげられるかも 右SBで90点 CFで100点,-4
51,ダニーロボザのここ2年のプレー集とスタッツは申し分ないんだが 何故今まで頭角を出さなかったのか気になる ポルトガルで失敗してるし 大事なのは今だからいいんだけど ポカミス多い系なのかも,0
52,ダニーロボザのプレイ動画観たけどプレス受けてもかわせるしドリブルやワンツーでどんどん前に持っていけるね 日本ならこれくらい足元上手ければボランチで考えたくなるレベル新潟とか鹿島に居たレオシルバのDF版って感じがする,-4
53,ダニーロボザブラジル一部でバリバリ稼働してるん,-4
54,全国選手権32試合だからほぼフル出場やろ たしかいまの全国選手権は20チームのHA総当りで38試合だったはず,-4
55,一部は今季からで主力 ただそれまでは二部みたいだな 今が登り始めなら良いな,-4
﻿レス番号,内容,-4
1,フランクフルトU21でアシスタントコーチを務める長谷部誠氏(40)が12日さいたま市内で取材に応じ日本代表が歴代最強と称されることに対する違和感を口にした 昨年9月から日本代表コーチを兼任するが歴代最強とか言うのは基本的には好きではない日本サッカーをつくってくださった先輩方の力がなければ自分も海外でプレーするとか海外で指導するとか そういうチャレンジはできていないと思うそういう先輩方へのリスペクトが常に頭にあるのでそういうこと(歴代最強)はまったく思わないと強調した W杯アジア最終予選でC組の日本代表は5勝1分けの無敗で首位を快走3月20日のバーレーン戦に勝てば3試合を残して8大会連続の本大会出場が決まる長谷部氏は自分は日本代表の肩書を名乗るのが失礼なぐらいの働きしかできていないと思っているが レベルの高い選手を見られることはすごく刺激になる監督やコーチングスタッフテクニカルスタッフと時間を共にしてコミュニケーションを取れるのは本当にありがたい 指導者1年目にレベルの違う2つのチーム(日本代表とフランクフルトU21)を見られるのは本当にありがたい環境と感謝した この日は浦和駒場スタジアムで開催されたフランクフルトと浦和によるサッカー教室に参加小学36年生の50人に座学ピッチ上でのトレーニングで指導し自分は熱量をグラウンドに持ち込める指導者に魅力を感じていたので 今はそういうところにトライしているJリーグそして世界で活躍する選手がこの中から出てきてくれればうれしいと期待した,-4
2,そりゃプレーヤー本人たちからしたら先輩を差し追いて歴代最強とか言うのは気が引けるだろう 見てる周りからしたら歴代最強だよなぁって完全な第三者目線のはなしだからな,-4
3,だから当事者としては思わないよってだけやん,4
4,中田と小野と名波と中村がいた昔の方が中盤はレベルが高かったね,-4
5,その辺は守備の強度がね・・・ 攻撃のアイデアは上だと思うけど,-3
6,黄金世代は司令塔が四人いたようなもんだしな,-4
7,さすが真面目なキャプテン長谷部誠や 先輩方歴史への敬意がまず念頭にある,-3
8,当事者が言うならともかく外野が言う分にはいいじゃん,-3
9,GK 川口 DF 中澤 MF 中田英 FW 久保竜 ここらへんに勝てる選手が未だに出てこない,3
10,久保竜とか怪我で全然あかんヤツ 中澤も基本的には遅い,-2
11,当時としては国の最高峰だと思うけど全員とっくに超えてると思う,0
12,まあ先達の無様を見れた事で自身のスタートラインが前に進んだところから始まったわけだからね 同じだけの努力をすれば過去の名選手より順当に良い結果を得られる その原理を理解していれば俺最強なんてとても不遜に思えて言えんわな さすが長谷部よ,0
13,クラブと違って代表は選手買ってくるとかできねえから 育成の結果が出るまで気の遠くなる長い時間がかかる 長谷部が言いたいのはそういうことだと思う,1
14,一昔前の代表が一番面白かったなドーハ南アの代表までは親善すら大半の試合は見てた 最近は見ることもなくなったけど 今の代表強いかもしれんけど華が全然なくて魅力を感じない,4
15,中田がいなきゃ香川はいないし 香川がいなきゃドイツにここまで日本人選手はいなかっただろうし,-3
16,現在のサッカーは中田がスタートかもなあ カズや奥寺とかは残念ながら今の選手の流れの基礎とは言い難い,4
17,Jリーグスタートしてから初めて世界最高峰リーグで成功したのが中田ヒデだからね JSL時代の奥寺は突然変異みたいなもんで後が続かなかったしカズの場合は実父が現地で代理人やっててマネジメントは全てお任せだったし,-3
18,まあカズはJリーグを盛り立てた功労者だから まあそれはそれで,-4
19,個人的には現在のサッカーは奥寺がスタートだと思う 奥寺の後に尾崎と風間が続いた(風間はブンデス2部と3部でしかプレーしてないが) 日本サッカーとJリーグはドイツサッカー(協会)やブンデスを教科書にして発展してきた 5大リーグの中で日本人選手が1番たくさんプレーしてきたのはブンデスだし ブンデスと日本人は相性が良く日本人選手として初めてヨーロッパのリーグで活躍したのが奥寺(ブンデス)なのも必然,-4
20,今が普通に歴代最強だと思うがもうピークは過ぎた感じする 冨安は怪我でいないのがデフォだし遠藤伊東三笘とかの中心選手も衰えが見える,0
21,ウイングは歴代最強 だけどぶっちゃけよく考えたらそこだけなんだよな FWもセンターのMFもSBもCBもそこまでじゃないし,1
22,いやCBも間違いなく歴代最高だろ 冨安はもちろん日本サッカー史上の最高のDFだし板倉町田伊藤谷口と層も厚くて一人や二人抜けても大崩れしない ボランチも控えが薄いけどレギュラーの遠藤守田のコンビはやっぱり歴代最高だと思うぞ,-4
23,CFとしても高原より上がいるかと言われたらまあ微妙,2
24,高原よりも岡崎と大迫の方が上だと思うぞ まあ今の代表の選手でないが,-4
25,部分的には岡崎のが上はあるが 大迫が上は100ない,-3
26,いやいや大迫みたいにワントップこなせる日本人FWは他にいないよ 競えるとしたら本職じゃない本田くらいじゃない 岡崎は実績がケタ外れで部分的にではなく総合的に21世紀では最強の日本人FW カズや釜本の全盛期知らんから歴代最強とまでは言い切れないが,-4
27,三笘伊東がキレキレだった時は歴代最強だったけどその生命線の二人がここ2年でだいぶパフォ落ちてきてるからチームのピークは過ぎてるわな,-1
28,しかもWBで使いやがるからなあ,-3
29,今の代表に入れそうな過去の代表選手 FW岡崎大迫高原 MF中田香川本田長谷部 DF内田釣男 GK該当者なし,1
30,さすがに全盛期川島は谷大迫より上だろ,-4
31,長友酒井も楽勝だろう,-4
32,ジーコジャパンやザックジャパンを見ているとアジア杯で優勝しない方がいい気がする 04年や11年のアジアカップはどっちもすごく面白かったが,-4
33,W杯翌年のアジアカップで好成績残すとチームの成熟が早すぎてそこからピークアウトしちゃうんだよね 3年も経てば劣化した選手も出てくるのに世代交代しづらくなる,1
34,それとこれとは別 長谷部だって先輩だろうが必要とあれば 激飛ばしたりモノ申したりするだろ,-4
35,日本代表は年々強くなってるよね,-4
36,当然実力は今の選手が上であるべきでしょ先人達が積み上げた知識や技術で効率的な成長が出来て育ててきたサッカー人気で昔より良い施設が使えてシステムも確立されてるんだから,-4
37,客観的に見れば今の選手は昔の偉大な選手より技術もフィジカルも上回ってる でもペレやベッケンバウアーが偉大な選手であることに変わりない そういうことだよね,-4
1,40歳までプレーした元ハルFW55歳で認知症と診断 同世代選手は自分もどうなるか心配でたまらない 近年サッカー界で問題視されるようになってきたヘディングによる頭部への影響 BBCによればかつてハル・シティなどでプレーした元FWディーン・ウィンダスさんがステージ2の認知症だと診断されたそう ウィンダスさんは現在55歳19902009年まで19年プレーし12のクラブで700試合以上に出場し230ゴール以上を記録した2009年には39歳で得点を決めてハルの最年長得点者にもなった 彼は自分に脳があるとわかって嬉しかったとジョークを飛ばしつつ他の家族が失った人のために望む助けを得られることを願うばかりだとも綴っていたという 31歳の息子ジョシュ・ウィンダスも英2部シェフィールド・ウェンズデイでプレーするサッカー選手である 神経変性疾患に苦しむ元サッカー選手を支援するグループの一員でもある元マンチェスター・ユナイテッドDFデイヴィッド・メイは彼は私と同年代なので自分も将来どうなるかが心配でたまらない私も今年で55歳になるが10年後の自分がどうなっているのかを知りたいと話している 2023年9月英国では認知症やその他の神経変性疾患の影響を受けた元選手とその家族を支援する基金が立ち上げられたまた英サッカー協会は草の根サッカーでヘディングを段階的に廃止する新たなルールの導入を決めている,-3
2,ヘディングのせいでは今ヘディングが問題になってるよな,4
3,特に未成年はヘディング即禁止にしろや,1
4,俺中学の時にサッカー部だったんだけどヘディングが怖くて痛くてマジでヘディングしなかったw マジで良かったしなくてヘディングw,0
5,俺もなるべく避けた ヘディングしなくても体当たりである程度ポジション取れるし,-4
6,ヘディングが原因なら ボクサーの方がやばいだろ,1
7,どっちもヤバイ,2
8,試合の頻度が違いすぎる ボクシングは毎日殴り合うわけでないがサッカーは練習でもヘディングするし,-2
9,実際ヤバいよ 元ボクサーの痴呆脳疾患なんかの発生率は常人の何倍も高いしボクサー脳症なんて言葉があるくらい でもそれを怖がってたらスポーツやれないしサッカーもある意味では同じかもね アメフトやラグビーボクシング以外の格闘技も似たような話は色々ある,-2
10,ボクシングでもパンチドランカーになりやすいのは中量級軽量級と言われているしなぁ 逆にヘビー級といった重量級は早いラウンドで決着がつきやすいから脳にダメージを蓄積しにくい 怖いのはパンチの威力よりこれまで打たれたパンチの累計数,1
11,人体は基本的に約60の水分で構成されており 脳は約80の水分で構成されている ほとんど水で出来ているようなものだから 頭蓋骨には影響の少ない打撃でも脳には確実に影響を与えるから たとえヘッドギア装着でもヘディングをやってはいけない,2
