number,text,sentiment,sentiment_score,stance,stance_score
15,ラッシュフォードみたいな選手はなんだかんだいっぱいいるけどウォーカーみたいな出物は滅多にないって感じかな 衰えが見えるが経験・実力って意味では理解できる ただ若干ボヌッチのときを思い出しちゃうんだよな,NEUTRAL (0.488),0.488,強く反対 (0.257),0.257
16,セリエに適応出来るかは置いといて守備陣にベテラン置くなら右サイドバックしかないのはあるな左サイドバックはテオいるのとヒメレス伸びてきてるから出場機会奪いたくないし センターバックは今はトモリ優先だがガッビアがある程度計算できるというか身体能力以外ならトモリより上に見る人もいるだろうし,NEUTRAL (0.544),0.544,強く反対 (0.272),0.272
17,ウォーカーさんのほうが先に決まりの雰囲気やね,POSITIVE (0.067),0.067,強く反対 (0.272),0.272
18,イングランド人派閥ができてそれが良い影響をもたらすのかそうじゃないのか ラッシュフォードとか環境を変えたところでイングランド人同士でのみつるんだりとか夜の街でウェーイしそうで怖いわ あと家庭内のいざこざで単身赴任で来そうなウォーカーがそれに加わらんといいが,NEUTRAL (0.471),0.471,強く反対 (0.280),0.28
19,ウォーカーさんは妻と子供とイタリアに引っ越して夫婦関係を修復したいみたい,POSITIVE (0.640),0.64,強く反対 (0.261),0.261
20,フォーデンきたー,NEUTRAL (0.967),0.967,強く反対 (0.291),0.291
21,きたあああああああああああ,POSITIVE (0.301),0.301,強く反対 (0.269),0.269
22,フォーデンやったーーーーー,POSITIVE (0.914),0.914,強く反対 (0.284),0.284
23,もうデ・ブライネほんとすき,POSITIVE (0.978),0.978,強く反対 (0.298),0.298
24,やっぱデ・ブライネいないと始まらないわ,NEUTRAL (0.114),0.114,強く反対 (0.305),0.305
25,デ・ブライネもキレ戻ってきたからほんと嬉しい どうにかもう一点,POSITIVE (0.979),0.979,強く反対 (0.249),0.249
26,今試合間隔あって後半も走れるからどうにかできてるけどこれから間隔詰まってきたらまた上手くいかなくなるんかな,NEGATIVE (0.923),0.923,強く賛成 (0.242),0.242
27,例年なら怪我人戻ってきたりするし今年は冬に補強もしたから選手増えるしまた伸びるんじゃない 怪我人増えず新戦力が使える前提だけども,NEUTRAL (0.534),0.534,賛成 (0.248),0.248
28,デ・ブライネさんもう2年くらい居てくれませんかね そしてギュンドアン来たか,NEUTRAL (0.706),0.706,強く反対 (0.297),0.297
29,ギュンドアン出して大丈夫かな怖いよ,NEGATIVE (0.939),0.939,強く反対 (0.281),0.281
30,やっぱコバチ下げるかーーー 今日も地道に守備してくれてたんだけどなー,NEGATIVE (0.064),0.064,強く反対 (0.261),0.261
31,またキターーー,NEUTRAL (0.626),0.626,賛成 (0.249),0.249
32,フォーデンも復活キタ(゚゚),POSITIVE (0.747),0.747,強く反対 (0.294),0.294
33,追加点やったー 左ヴィーニョもフォーデンもナイス,POSITIVE (0.539),0.539,強く反対 (0.248),0.248
34,ブレントフォードキラーフォーデン,NEUTRAL (0.824),0.824,強く反対 (0.295),0.295
35,そういや前回のアウェーではハット決めてたんだっけか,NEUTRAL (0.793),0.793,強く反対 (0.250),0.25
36,あーやられた,NEGATIVE (0.982),0.982,強く反対 (0.304),0.304
37,後10分粘ってよ,NEUTRAL (0.636),0.636,強く賛成 (0.233),0.233
38,緩いなぁ,NEGATIVE (0.440),0.44,強く反対 (0.321),0.321
39,まーこんだけ振られたらキツイわ,NEGATIVE (0.654),0.654,強く反対 (0.278),0.278
40,サヴィーニョさんまたエゴ出てきてますよ,POSITIVE (0.372),0.372,強く反対 (0.296),0.296
41,でも利き足で前空いたら打っちゃうと思うわ,NEUTRAL (0.273),0.273,強く反対 (0.267),0.267
42,サヴィーニョとかいうハーランド最大の敵,NEUTRAL (0.621),0.621,強く反対 (0.242),0.242
43,何回アシストしてくれたと思ってんだ,POSITIVE (0.190),0.19,強く賛成 (0.253),0.253
44,うわーーー,NEGATIVE (0.869),0.869,強く反対 (0.286),0.286
45,えー追いつかれるんかい,NEGATIVE (0.953),0.953,強く反対 (0.285),0.285
46,決められる時に決めないから,NEUTRAL (0.236),0.236,強く反対 (0.237),0.237
47,アケすごすぎ,POSITIVE (0.745),0.745,強く反対 (0.289),0.289
48,アケとかいう神,NEUTRAL (0.158),0.158,賛成 (0.240),0.24
49,まあここまで出来ただけでもマシになってきてるのかな お疲れ,NEGATIVE (0.901),0.901,強く反対 (0.272),0.272
50,もったいない試合だわ,NEGATIVE (0.931),0.931,強く反対 (0.304),0.304
51,しかしブレントフォードのカウンターは怖いね,NEGATIVE (0.925),0.925,強く反対 (0.286),0.286
52,勝てる試合だったけどなー 意味がわからん,NEGATIVE (0.988),0.988,強く反対 (0.274),0.274
53,サヴィーニョのエゴのせいで勝てなかった,NEGATIVE (0.967),0.967,賛成 (0.238),0.238
54,でもサヴィーニョのエゴのおかげで2点目が入ったんだぞ,POSITIVE (0.804),0.804,強く賛成 (0.263),0.263
55,他に素直に出せばってのが2つくらいあったから ヌネスも切り替え狙わなければってのもあったし サッカーは難しい,NEGATIVE (0.783),0.783,強く反対 (0.292),0.292
56,最後のキープにコバチがいてくれたら てか日程的にも今日が一番体力あって割とメンバー揃ってたのに勝てないってもう4位も厳しいだろ,NEGATIVE (0.865),0.865,強く反対 (0.240),0.24
57,ここ最近歯車が噛み合わなくなってるな,NEGATIVE (0.890),0.89,強く反対 (0.277),0.277
58,年末の状態に比べればずっと良くなってると思う,POSITIVE (0.208),0.208,強く賛成 (0.248),0.248
59,20から追いつかれるとかシティのサッカーじゃねぇと思ったが CLでフェイエに30から追いつかれてたんだった,NEGATIVE (0.228),0.228,強く賛成 (0.273),0.273
60,この流れクロップリバプールで見たわ 高齢化で細かいミス増えて後ろに膨大なスペースあるから突かれて永遠と負け続ける このサッカーしたいならスカッドの入れ替え必須だよ,NEUTRAL (0.528),0.528,強く反対 (0.258),0.258
61,ギュンドアン出さなければ逃げ切れたかもしれん 知らんけど,NEGATIVE (0.336),0.336,強く賛成 (0.238),0.238
62,直接的には関わってないしなんならビッグチャンスも作ってたけどね これまでの怠慢プレーの数々で印象悪いのは仕方ないが,NEGATIVE (0.956),0.956,強く反対 (0.258),0.258
63,一回はいい感じのボール蹴ってたけど他はちゃんと緩かったぞ,NEGATIVE (0.239),0.239,賛成 (0.234),0.234
64,最後の失点も疲れてるとは言えサヴィーニョが全然寄せてなかったし今日はギュンドアンのせいにするのは厳しいでしょ,NEGATIVE (0.923),0.923,強く反対 (0.244),0.244
65,ユルゲン・クロップ氏がRB大宮アルディージャの今季開幕戦を現地観戦する見通しとなった ドルトムントでブンデスリーガ連覇やDFBポカール優勝リヴァプールではプレミアリーグ優勝やチャンピオンズリーグ制覇も成し遂げたクロップ氏昨季限りでリヴァプールを退団するとレッドブル・グループのグローバルフットボール責任者に就任したことが先日に発表された 今季にJ2に昇格した大宮との関わりも注目される中レッドブル公式はクロップ氏が大宮の開幕節を現地観戦すると報告フットボール本部長を務める原博実氏はX上での報告を引用し待ってますよと投稿した 大宮は2月15日に行われる明治安田J2リーグ第1節でモンテディオ山形をホームに迎える,POSITIVE (0.337),0.337,賛成 (0.298),0.298
66,クロップだけ見に行きたい,POSITIVE (0.761),0.761,強く反対 (0.272),0.272
67,ライプツィヒの試合にも来てたし仕事してるな シェシュコのゴラッソを生で見たの羨ましい,POSITIVE (0.378),0.378,強く反対 (0.265),0.265
68,マイクパフォーマンスとかあるのかな,NEUTRAL (0.906),0.906,強く反対 (0.277),0.277
69,クロップ見れるなら関西からでも行きたい,POSITIVE (0.896),0.896,強く反対 (0.310),0.31
70,スーパードライを飲みながら大宮ステーキ丼とウィンナー盛り合わせナクスタカレーを頬張るクロップの姿が,NEUTRAL (0.833),0.833,強く反対 (0.250),0.25
71,香川の試合も観に行こう,POSITIVE (0.914),0.914,強く反対 (0.309),0.309
72,クロップのサインほしいな,POSITIVE (0.621),0.621,強く反対 (0.310),0.31
73,初来日かな ドルが来日した時は監督もうトゥヘルに変わってたよね,NEUTRAL (0.774),0.774,強く反対 (0.289),0.289
74,日本代表監督になってほしいわぁ,POSITIVE (0.123),0.123,強く反対 (0.299),0.299
75,試合が終わったらクロップを胴上げだー,POSITIVE (0.650),0.65,賛成 (0.253),0.253
76,マジか ちょっとヤバ過ぎる,NEGATIVE (0.974),0.974,強く反対 (0.275),0.275
77,大宮はJリーグにおける黒船襲来でありこの外圧により全体が激震するだろう そしてそれははJリーグが文化として日本に根付く契機になるだろう,NEUTRAL (0.389),0.389,強く反対 (0.268),0.268
78,山形に勝ったら昇格ある そこまで甘くないと思うが,POSITIVE (0.745),0.745,強く反対 (0.282),0.282
79,監督はもうやらないって断言してたな,NEGATIVE (0.374),0.374,強く反対 (0.266),0.266
80,疲れ果ててそんなこと言ってるんだろうけど少し休んだらまた修羅場に戻りたくなるだろうね,NEGATIVE (0.999),0.999,強く賛成 (0.287),0.287
81,もしも次に監督するならドイツ代表監督かバルサかレアルしか選択肢もないしな 現実的なところだとドイツ代表くらいしかなさそう,NEUTRAL (0.692),0.692,強く反対 (0.252),0.252
82,J2に昇格したってことはもっと下だったの,NEUTRAL (0.796),0.796,強く反対 (0.277),0.277
83,昨シーズンはJ3,NEUTRAL (0.549),0.549,強く賛成 (0.223),0.223
84,クロップ来るのか,NEUTRAL (0.800),0.8,強く反対 (0.273),0.273
85,クラブスタッフになるとかならビビるが 来場するだけじゃなあ,NEUTRAL (0.532),0.532,強く反対 (0.286),0.286
86,日本のアンフィールドへようこそクロップ氏がJ2開幕戦を現地観戦へ レッドブル・ジャパンが15日に公式X(旧ツイッター)を更新し ユルゲン・クロップ氏がレッドブル傘下となったRB大宮アルディージャのJ2開幕戦を現地観戦すると伝えた,POSITIVE (0.995),0.995,強く反対 (0.320),0.32
87,大宮nack5がリヴァプールアンフィールドなら浦和はエヴァートンで埼スタはグディソンかよ そりゃそうなるよな,NEUTRAL (0.251),0.251,強く反対 (0.290),0.29
88,あんな小さなスタジアムが日本のアンフィールドって,NEUTRAL (0.882),0.882,強く反対 (0.288),0.288
89,全然大宮サポじゃないけどクロップみにナクスタ行こうかな,POSITIVE (0.345),0.345,強く反対 (0.246),0.246
90,ケンユーが見つかっちまうか,NEUTRAL (0.561),0.561,強く反対 (0.271),0.271
91,クロップもあの歩道もないような横ビュンビュン車が通るところ歩いてNACK5行くのか,NEUTRAL (0.672),0.672,賛成 (0.273),0.273
92,ピッチに降りて軽く挨拶と拳突き上げイエアイエアイエアしてほしいよな 大宮サポができるか微妙だけど,NEUTRAL (0.650),0.65,強く賛成 (0.260),0.26
93,なんでクロップが大宮駅から徒歩でNACK5スタジアム行くんだよw,NEUTRAL (0.770),0.77,強く反対 (0.292),0.292
94,蒙古タンメン食ってナック5の傾斜で転がってマンキツするだろクロップも,NEGATIVE (0.155),0.155,強く反対 (0.235),0.235
95,勝ったー,POSITIVE (0.424),0.424,強く反対 (0.252),0.252
96,きつかったわ,NEGATIVE (0.990),0.99,強く反対 (0.310),0.31
97,結果がすべてやナイス,NEUTRAL (0.062),0.062,強く反対 (0.248),0.248
98,いよおおおおおおおおおおおし でかい1勝,POSITIVE (0.212),0.212,強く反対 (0.243),0.243
99,スケリーにMOTMをあげたい,POSITIVE (0.450),0.45,強く反対 (0.305),0.305
100,ノースロンドンフォーエバー,NEUTRAL (0.775),0.775,賛成 (0.254),0.254
1,よしよしよし ナイス逃げ切り 次も勝ってリバポ追うぞ全然チャンスあるぜ,POSITIVE (0.899),0.899,強く反対 (0.244),0.244
2,いよっしゃー 今のチーム状況でノーロン2タテは素晴らしい,POSITIVE (0.979),0.979,強く反対 (0.265),0.265
3,チームとして一つキッカケになるダービーでしっかり逆転して勝ったんだからこっからだぞマジでチームのメンタルと自信を取り戻してくれ,POSITIVE (0.608),0.608,強く反対 (0.262),0.262
4,よーしよし 次はヴィラかきっちー,POSITIVE (0.945),0.945,強く反対 (0.298),0.298
5,スケリーが良すぎるなぁ カラフィオーリが復帰してもスタメンで見たいわ 交代時のパフォーマンスでさらに好きになった笑,POSITIVE (0.974),0.974,強く反対 (0.255),0.255
6,お互いヘトヘト 内容なんかしらん結果が全て,NEGATIVE (0.681),0.681,強く反対 (0.267),0.267
7,勝てたから良かったけどカイのところの層がな カイを休めさせられないのはきつい,NEGATIVE (0.989),0.989,強く反対 (0.230),0.23
8,正直5点は取れた試合だったけど勝って3pが重要 4バック特にガブリエルと両SBの強さが際立ってた,POSITIVE (0.810),0.81,強く反対 (0.255),0.255
9,いやぁまず勝利おめでとう だけどみんなシュート下手になったわw シュート練習もっとやれw,POSITIVE (0.802),0.802,賛成 (0.246),0.246
10,サカホワイトウデゴの流動性のある右からの攻撃が恋しいわ マジではよ帰ってきてくれ,POSITIVE (0.846),0.846,強く反対 (0.284),0.284
11,サカの次のスターボーイになる気がする 天性の身体の強さとバランスあるし,POSITIVE (0.899),0.899,強く反対 (0.279),0.279
12,スケリーはそれに加えてボール持てるのがデカい プレッシャー受けても失わないキープ力 あれは普通のSBが持ってない能力だわ,POSITIVE (0.548),0.548,強く反対 (0.256),0.256
13,元々アンカーだからね 身体能力も高いし現代のSBにピッタリだわ,POSITIVE (0.885),0.885,強く反対 (0.271),0.271
14,アウェーのダービー4連勝って無敗の頃でもなかったぞ 2022年以降全部勝ち点3取ってるホームなら15年負けてないし,NEUTRAL (0.319),0.319,強く反対 (0.242),0.242
15,トッテナムは降格圏のほうが近いなw,NEUTRAL (0.741),0.741,強く反対 (0.251),0.251
16,ウデゴもカイも本当に戦ってるのはわかるからフィニッシュもやり切って報われてほしい,POSITIVE (0.818),0.818,強く反対 (0.267),0.267
17,控えいなくてボロボロだな前線 これ以上怪我人出さないためにも補強せんと それでなくてもシュート下手なやつばっかなのに 疲労で足元覚束無いし判断鈍ってるしでダメダメだ,NEGATIVE (0.965),0.965,強く反対 (0.270),0.27
18,次も中2日で試合かよ 選手殺す気やんもっと試合間隔あけてやれよ,NEGATIVE (0.458),0.458,強く反対 (0.264),0.264
19,次どころか2月の頭までこのペースだ12月の中旬あたりからずっとマジで選手殺す気だよ,NEGATIVE (0.978),0.978,強く反対 (0.271),0.271
20,トッテナムも大概酷かったわ ベリヴァルが空けたスペースを埋める人いないしジョンソンは全部適当すぎて草生える,NEGATIVE (0.220),0.22,強く反対 (0.241),0.241
21,ヘロヘロのハヴァーツがまったく休めなくてどんどんコンディションが落ちる悪循環 ユースからあげて少しは休ませてくれ,NEGATIVE (0.852),0.852,強く反対 (0.277),0.277
22,カビアはカラバオ3回戦ですら微妙だったしオイデジエドワースはトップチーム出場0 これじゃティアニーやチェンコをWGで使うのはしょうがない,NEGATIVE (0.903),0.903,強く反対 (0.293),0.293
23,下手したら本職じゃないドーマンがユースで1番まともな右ウィングだしね,NEUTRAL (0.103),0.103,強く反対 (0.263),0.263
24,でもPLに出場できないんだよなあ規定で,NEGATIVE (0.889),0.889,強く反対 (0.266),0.266
25,ティアニー一個前はあくまで逃げ切り用の使い方だし きついな,NEGATIVE (0.895),0.895,強く反対 (0.262),0.262
26,ティアニーチェンコ使ってでもトロのプレータイム管理しなきゃいけない苦しい台所事情だったな 今日観にきてるんだろジョシュ頼むぞ,NEUTRAL (0.246),0.246,強く反対 (0.305),0.305
27,カイは病み上がりから連戦で調子落ちまくり 判断最悪で頭回ってない,NEGATIVE (0.961),0.961,強く反対 (0.245),0.245
28,トロサールゴールは決めたけど 苦しすぎるなぁあんな簡単にボールロストしてたら ちょっとね点決めたからすべておkとはさすがにならんかなぁ・・・,NEGATIVE (0.381),0.381,強く反対 (0.256),0.256
29,トロサールのゴールはスカッとしたけどロスト増えまくりでもうきついな,NEGATIVE (0.975),0.975,強く賛成 (0.262),0.262
30,ハヴァーツはマジで休ませるタイミングないんだよなジェズス離脱までは休ませつつ使ってたけど病み上がりからフル稼働しないと回らない ヌワネリ復帰してもCFできる奴が根本的にいないからなワンチャンでネッリぐらいだけど収までって形は難しいしな,NEGATIVE (0.648),0.648,強く反対 (0.274),0.274
31,後半疲れてきたとき 相手陣地からのリスタートのプレスの掛け方あぶなかったわ 簡単に剥されてドリブルで運ばれてDFラインが曝されすぎた あれは修正してほしかったな,NEGATIVE (0.785),0.785,強く賛成 (0.243),0.243
32,バックスは冬はもうこれ以上無いよ 前線はトロトップにしないとカイ休めないんだからな,NEUTRAL (1.000),1.0,強く反対 (0.272),0.272
33,ティアニーを干し続けてたのは正解だったんだろうかと思うプレーぶりだった,POSITIVE (0.659),0.659,強く反対 (0.272),0.272
34,まあ怪我がね,NEGATIVE (0.860),0.86,強く反対 (0.327),0.327
35,ライスのインタビューでもスケリーについてめっちゃ聞かれてるな笑,NEUTRAL (0.784),0.784,強く反対 (0.281),0.281
36,April 2024 Tottenham 23 Arsenal Man of the Match Gabriel Magalhães September 2024 Tottenham 01 Arsenal Man of the Match Gabriel Magalhães January 2025 Arsenal 21 Tottenham Man of the Match Gabriel Magalhães ノーロンの鬼マガリャン,NEUTRAL (0.008),0.008,強く反対 (0.244),0.244
37,マルティネッリトロサールハヴァーツの並びの方がまだいいと思うけど ジェズスの右WGといいアルテタはしねぇんだよな マルティネッリは器用じゃないから本来の左にしてあげた方がいいし トロサールが1番キック上手いからゴールから遠ざけるより中の方がいいし ハヴァーツはファーストターゲットにするより後から飛び込ませてあげて欲しいし,NEUTRAL (0.655),0.655,賛成 (0.271),0.271
38,マジでターンオーバー人員確保が急務過ぎる ホワイト冨はよ復活してくれ,NEUTRAL (0.001),0.001,強く反対 (0.292),0.292
39,ホワイト冨安はリハビリ最終段階って感じだけど まだフリトレ復帰には1週間は必要かなぁと,NEUTRAL (0.674),0.674,強く反対 (0.251),0.251
40,60分マルティネッリを休ませただけでもスターリングは価値がある選手 スペンス経由でビルドアップ出来ないのを見越してスタメンで出したアルテタの名采配だよ,POSITIVE (0.616),0.616,強く反対 (0.239),0.239
41,スターリングは守備でサボることはなくなっていたからまだ使える あとはティンバーやウデゴとうまく連携できれば 正直単独突破はスペンス相手にもできなくなっていたから衰えかな,NEUTRAL (0.409),0.409,強く反対 (0.257),0.257
42,あと普通にスケリーは身体能力高いよな ユース時代はそれ故に身体がついて来れず怪我多かったけど,NEUTRAL (0.612),0.612,強く賛成 (0.241),0.241
43,ヴィラ戦もスターリングスタートの途中でマルorトロだろうね 判断がちょくちょく気になる場面はあったけど頑張ってもらわねば ティンバー使い詰めなのが心配冨安はよ帰ってきてくれ,NEGATIVE (0.961),0.961,強く反対 (0.299),0.299
44,それにしても鳴り物入りで獲得したカラフィオーリが怪我の間にスタメン獲得しそうなスケリーは ドビュッシーとベジェリンを思い出させる まぁカラフィオーリが腐る事にはならないだろうが,NEUTRAL (0.916),0.916,強く反対 (0.257),0.257
45,そこまで歳は離れてないけどね なんかのインタビューでベジェリンはスタメン争いやる気満々だったけどドビュッシーは大人な受け答えしてたのが記憶に残ってる,NEUTRAL (0.669),0.669,強く反対 (0.264),0.264
46,とりあえず1つ目の山場を越えられて良かった あとは補強がどうなるか,NEUTRAL (0.932),0.932,強く賛成 (0.265),0.265
47,うおおおおおお ジュベントゥージに所属するCBダニーロ・ボザ に日本からオファーがありまもなく移籍するとか 26歳のダニーロ・ボザは今季ブラジル1部32試合出場 J1案件かなCBが必要なJクラブといえば,POSITIVE (0.444),0.444,強く反対 (0.267),0.267
48,待望の壁CBキタ(゚゚) あとは右SBとクリロナか,NEUTRAL (0.750),0.75,強く反対 (0.272),0.272
49,アルベルト島野 浦和へ移籍するってよ 午前528 ・ 2025年1月15日 マジかよ,NEUTRAL (0.736),0.736,強く反対 (0.261),0.261
50,mk19 代理人調べたらドウグラス・ヴィエイラと同じなんですね 午前813 ・ 2025年1月15日,NEUTRAL (0.845),0.845,強く反対 (0.282),0.282
51,185センチ右利きは一応右センターバックに合う,NEUTRAL (0.566),0.566,強く反対 (0.274),0.274
52,Danilo Boza この選手かCBとしては足下は異常に上手いな 壁になれるかどうかはよく分からん,NEUTRAL (0.554),0.554,強く反対 (0.262),0.262
53,ボールの持ち出しかたが闘莉王にそっくり 足元は相当上手いね 攻撃大好きな感じ ヘディングも強いようだけど ヘディングゴールは少ないな 体も強いね スピードもまぁまぁ,POSITIVE (0.846),0.846,強く反対 (0.267),0.267
54,裏に出すロングフィードめっちゃ上手いな,POSITIVE (0.955),0.955,強く反対 (0.296),0.296
55,良いところばかり集めてるんだから当たり前だけど スピードあって足元うまくてすげーいい選手に見えるな 守備力は分からんが,POSITIVE (0.636),0.636,強く反対 (0.262),0.262
56,ChatGPTに聞いてみた ダニーロ・ボザ選手はブラジル出身のセンターバックで空中戦やフィジカルの強さが特徴です スコルジャ監督の戦術に適応するためにはこれらの能力に加えてビルドアップ能力や戦術理解度が求められます したがってダニーロ・ボザ選手が浦和レッズにフィットするかどうかは彼の総合的なスキルセットとスコルジャ監督の戦術要求との適合性によると言えます,POSITIVE (0.539),0.539,強く反対 (0.240),0.24
57,無難な答えしか出てこないやん,NEGATIVE (0.845),0.845,強く反対 (0.316),0.316
58,ダニーロ・ボザ選手の成功確率は約50と推定されます フィジカルの強さや空中戦はJリーグでプラスに働く要素です 一方で戦術的適応や浦和レッズでの競争の激しさが課題となります マチェイ・スコルジャ監督の戦術理解がカギとなるでしょう シーズン序盤での適応が成功への重要なポイントです,POSITIVE (0.434),0.434,強く反対 (0.253),0.253
59,がっつり右CBやね 足もとも上手っぽい,POSITIVE (0.192),0.192,強く反対 (0.300),0.3
60,動画見てたらだんだん気に入ってきた カバーリングやインターセプトが得意でドリブルでどんどん持ち上がって攻撃参加するリベロタイプ アドリエウソンの方が対人守備能力や跳躍力が凄くてヘディング強くていかにも壁って感じだったが,NEUTRAL (0.400),0.4,強く反対 (0.256),0.256
61,アルベルト島野 日本からオファーがあったダニーロ・ボザは 南米のトップ5リーグで最も成功率の高いディフェンスデュエルを持つ7人のセンターバックのうち4位にランクアップされているとか,NEUTRAL (0.235),0.235,強く反対 (0.278),0.278
62,南米トップ5リーグって初めて聞いたがブラジルアルゼンチンの他の3つはどこ,NEUTRAL (0.178),0.178,強く反対 (0.281),0.281
63,知らんけど ウルグアイパラグアイコロンビアあたりじゃね,NEUTRAL (0.808),0.808,強く反対 (0.288),0.288
64,流石にこのデータのダニーロは浦和が取る方で合ってるのかな,NEUTRAL (0.837),0.837,強く反対 (0.271),0.271
65,やっと壁が来るのか,NEGATIVE (0.975),0.975,賛成 (0.263),0.263
66,持ち上がりもできて縦パスも刺せる 足元うまいし足も遅くなさそう 来てくれるならありがたいね,POSITIVE (0.968),0.968,強く反対 (0.252),0.252
67,wikiには右SBできるという情報が,NEUTRAL (0.708),0.708,強く反対 (0.308),0.308
68,サントス時代に右サイドバックやったけどひどかったみたい,NEGATIVE (0.973),0.973,強く賛成 (0.243),0.243
69,これが確定と言う事ならホリの出来る範囲で頑張ったと見て良いのかな 欲を言えば右SBの補強が欲しかったけどね,NEUTRAL (0.993),0.993,強く反対 (0.264),0.264
70,右SB兼まだまだ薄手のCBの控えとして橋岡欲しいとこなんだけどな たぶん水面下で動いてそうな気もするがルートンタウンと本人に復帰の意思があるかどうか 来年のW杯出場考えたら試合に出れる所に行かなきゃどうにもならんし,NEGATIVE (0.359),0.359,強く反対 (0.283),0.283
71,ダニーロ・ボザ フルネーム Danilo Boza Júnior 生年月日(年) May 6 1998(26) 身長 185 m 国籍 ブラジル ポジション Defender CentreBack 利き足 右 所属 Esporte Clube Juventude 契約 Dec 31 2025 市場価値 150Mill tps 2024 全国選手権(セリエA) 32試合3G1A 黄紙2 出場2832 2023 全国選手権(セリエB) 38試合2G1A 黄紙1 出場3389 2022 全国選手権(セリエB) 17試合0G0A 黄紙2 出場1248 2021 全国選手権(セリエA) 22試合0G1A 黄紙2 出場1455 2020 全国選手権(セリエD) 20試合4G0A 黄紙5 2枚目退場1 出場1764 2019 全国選手権(セリエB) 0試合0G0A 出場0 201819 ポルトガル2部 9試合0G0A 出場736 tps,POSITIVE (0.108),0.108,強く反対 (0.254),0.254
72,ええやん,NEGATIVE (0.022),0.022,強く反対 (0.270),0.27
73,てかCBで黄紙少ないのも凄いな,NEUTRAL (0.560),0.56,強く反対 (0.268),0.268
74,西野が今年獲得したコロンビア人DFは1シーズンだけで17枚も黄紙もらってて草,POSITIVE (0.820),0.82,強く賛成 (0.240),0.24
75,1シーズンでカード17枚草 どんなプレーしたらそんな事になるのか,NEUTRAL (0.817),0.817,強く反対 (0.292),0.292
76,ビルドアップ能力ありそうなのは戦術的には求めてるタイプな感じだね 一応記事には右SBもやれる的なこと書いてあるけどどうなんだろ,NEUTRAL (0.785),0.785,強く賛成 (0.259),0.259
77,正直去年の夏に取る選手だったろとは思う まあ取れるなら最低限か あとSBはよ,NEUTRAL (0.911),0.911,強く反対 (0.257),0.257
78,足速いのはいいな JリーグのCBは足遅いと辛い,NEGATIVE (0.569),0.569,強く反対 (0.302),0.302
79,足速いのは良いな ライン上げられる あとはマリウスとのコミュニケーションだが,POSITIVE (0.688),0.688,強く反対 (0.292),0.292
80,バスコのディフェンダーダニーロ・ボザが世界最速選手の一人に,NEUTRAL (0.539),0.539,強く反対 (0.294),0.294
81,スピード自信あるのか 36キロってJリーグだと誰くらい,NEUTRAL (0.762),0.762,強く反対 (0.285),0.285
82,調べたら去年のデータでトップタイで ガンバの山下と当時鹿島の藤井の354の上,NEUTRAL (0.767),0.767,強く反対 (0.228),0.228
83,ほう 計測がブラジルと日本だとズレありそうだが 足は自慢の快速ぽいな,NEUTRAL (0.243),0.243,強く反対 (0.278),0.278
84,松尾で去年の記録だと347 36だとJナンバーワンの数字になるね,POSITIVE (0.054),0.054,強く反対 (0.228),0.228
